"","BO","KI","MY","SP","chrom"
"1",0.0594622543950362,0.0461783439490446,0.0568445475638051,0.0452436194895592,"1"
"10",0.0387797311271975,0.0414012738853503,0.0591647331786543,0.0406032482598608,"10"
"11",0.0399862116511548,0.0461783439490446,0.0464037122969838,0.0359628770301624,"11"
"12",0.0351602895553257,0.0525477707006369,0.0249419953596288,0.0545243619489559,"12"
"13",0.0334367459496725,0.035031847133758,0.0290023201856148,0.0580046403712297,"13"
"14",0.0399862116511548,0.0398089171974522,0.0290023201856148,0.0440835266821346,"14"
"15",0.0318855567045846,0.0477707006369427,0.0319025522041763,0.0382830626450116,"15"
"16",0.0342985177524991,0.036624203821656,0.0243619489559165,0.0266821345707657,"16"
"17",0.0361944157187177,0.0254777070063694,0.0336426914153132,0.0417633410672854,"17"
"18",0.0280937607721475,0.0238853503184713,0.0307424593967517,0.0232018561484919,"18"
"19",0.0265425715270596,0.0254777070063694,0.0226218097447796,0.0208816705336427,"19"
"2",0.0498104102033781,0.0509554140127389,0.0481438515081207,0.0614849187935035,"2"
"20",0.0341261633919338,0.0477707006369427,0.0261020881670534,0.0220417633410673,"20"
"21",0.0265425715270596,0.0207006369426752,0.027262180974478,0.0243619489559165,"21"
"22",0.0215442950706653,0.0127388535031847,0.027262180974478,0.0266821345707657,"22"
"23",0.0180972078593588,0.0270700636942675,0.0295823665893271,0.0197215777262181,"23"
"24",0.0229231299551879,0.0318471337579618,0.0388631090487239,0.0232018561484919,"24"
"25",0.0227507755946225,0.0318471337579618,0.0197215777262181,0.0220417633410673,"25"
"26",0.0191313340227508,0.0191082802547771,0.0203016241299304,0.0174013921113689,"26"
"27",0.0201654601861427,0.0143312101910828,0.015661252900232,0.0116009280742459,"27"
"28",0.0184419165804895,0.0238853503184713,0.0220417633410673,0.0139211136890951,"28"
"29",0.0206825232678387,0.0222929936305732,0.0174013921113689,0.0104408352668213,"29"
"3",0.0413650465356774,0.0557324840764331,0.0562645011600928,0.037122969837587,"3"
"4",0.0468803860737677,0.0302547770700637,0.052784222737819,0.04292343387471,"4"
"5",0.0449844881075491,0.0270700636942675,0.0336426914153132,0.0406032482598608,"5"
"6",0.0617028610823854,0.0573248407643312,0.0446635730858469,0.0614849187935035,"6"
"7",0.0439503619441572,0.0509554140127389,0.0388631090487239,0.0545243619489559,"7"
"8",0.0508445363667701,0.0286624203821656,0.0400232018561485,0.04292343387471,"8"
"9",0.0322302654257153,0.0270700636942675,0.052784222737819,0.0382830626450116,"9"
