"","BO","KI","MY","SP","CLASS"
"0-2",0.501895897966219,0.558917197452229,0.504060324825986,0.654292343387471,"0-2"
"2-4",0.266976904515684,0.171974522292994,0.248839907192575,0.146171693735499,"2-4"
"4-8",0.151844191658049,0.138535031847134,0.148491879350348,0.107888631090487,"4-8"
"8-16",0.0637711134091693,0.0955414012738854,0.0672853828306264,0.0522041763341067,"8-16"
">16",0.015511892450879,0.035031847133758,0.031322505800464,0.0394431554524362,">16"
